Name,Effects
Gear Up,+1 Attack
Gorilla Tactics,+1 Attack
Howl,+1 Attack
Leer,+1 Attack
Meditate,+1 Attack
Moxie,+1 Attack
Sharpen,+1 Attack
Tail Whip,+1 Attack
Screech,+2 Attack
Swords Dance,+2 Attack
Huge Power,+6 Attack
Pure Power,+6 Attack
Baby-Doll Eyes,+1 Defense
Charm,+1 Defense
Defense Curl,+1 Defense
Growl,+1 Defense
Harden,+1 Defense
Intimidate,+1 Defense
Play Nice,+1 Defense
Withdraw,+1 Defense
Acid Armor,+2 Defense
Barrier,+2 Defense
Feather Dance,+2 Defense
Iron Defense,+2 Defense
Stamina,+2 Defense
Cotton Guard,+3 Defense
Metal Sound,+1 Special Attack
Nasty Plot,+1 Special Attack
Fake Tears,+2 Special Attack
Plan Out,+2 Special Attack
Tail Glow,+3 Special Attack
Big Brained,+6 Special Attack
Aromatic Mist,+1 Special Defense
Confide,+1 Special Defense
Headache,+1 Special Defense
Snarl,+1 Special Defense
Amnesia,+2 Special Defense
Captivate,+2 Special Defense
Eerie Impulse,+2 Special Defense
Dissipate,+3 Special Defense
Cotton Down,+1 Speed
Gooey,+1 Speed
Run Away,+1 Speed
Tangling Hair,+1 Speed
Agility,+2 Speed
Autotomize,+2 Speed
Cotton Spore,+2 Speed
Rock Polish,+2 Speed
Scary Face,+2 Speed
Speed Boost,+2 Speed
String Shot,+2 Speed
Tailwind,+2 Speed
Attack Order,"+1 Attack, +1 Defense"
Bulk Up,"+1 Attack, +1 Defense"
Calm Mind,"+1 Special Attack, +1 Special Defense"
Coil,"+1 Attack, +1 Defense, +1 to accuracy checks"
Cosmic Power,"+1 Defense, +1 Special Defense"
Decorate,"+2 Attack, +2 Special Attack"
Defend Order,"+1 Defense, +1 Special Defense"
Dragon Dance,"+1 Attack, +1 Speed"
Fae Frolic,"+1 Special Attack, +1 Speed"
Growth,"+1 Attack, +1 Special Attack"
Headstrong,"+4 Special Attack, -2 to accuracy checks"
Hone Claws,"+1 Attack, +1 to accuracy checks"
Hustle,"+4 Attack, -2 to accuracy checks"
Magnetic Flux,"+1 Defense, +1 Special Defense"
Majesty's Order,"+1 Attack, Special Attack, Defense, and Special Defense"
Noble Roar,"+1 Defense, +1 Special Defense"
Quiver Dance,"+1 Special Attack, +1 Special Defense, +1 Speed"
Rototiller,"+1 Attack, +1 Special Attack"
Seer Sight,"+1 Special Attack, +1 to accuracy checks)"
Shift Gear,"+1 Attack, +2 Speed"
Tearful Look,"+1 Defense, +1 Special Defense"
Tickle,"+1 Attack, +1 Defense"
Work Up,"+1 Attack, +1 Special Attack"
Focus Energy,Attacks are critical hits on natural 18-20
Super Luck,Attacks are critical hits on natural 18-20
Adaptability,Moves that are the same type as you deal +4 damage.
Aerilate,Normal-type moves performed by you are treated as Flying-type moves.
Aftermath,"When knocked out by a melee attack, the attacker loses 1d20 HP."
Analytic,"When attacking a foe who has already acted this round, deal +4 damage."
Anger Point,"When hit by a critical hit, raise Attack +6 for 10 mins. This passive does not stack."
Aroma Veil,"You and your allies within 10ft of you are immune to the effects of the moves Heal Block, Taunt, Encore, and Disable and the passive Cursed Body."
Battery,Allies within 15 ft of you have +1 Special Attack.
Battle Armor,Critical hits are treated as normal hits against you.
Battle Bond,Mega Greninja’s Water Shuriken’s base damage changes from 1d4 to 1d10.
Berserk,"While below half HP, you have +2 Special Attack."
Big Pecks,Your Defense cannot be lowered by a foe’s effects.
Blaze,"When you are below 20 HP, your Fire type attacks deal +4 damage."
Centered Focus,Mega Gallade is immune to being Stunned. Mega Gallade has +2 more Defense.
Cheek Pouch,"Whenever you consume a berry, you recover 10 HP in addition to any other effects."
Chlorophyll,"While in Sunny Weather, your Speed is +2."
Clear Body,Your stats cannot be lowered by a foe’s effects.
Cloud Nine,"As a free action you may deplete one use of Defog and use Defog.,"
Color Change,"Whenever you are attacked, your type is changed to the same type as the attack after taking damage and effects."
Comatose,You are always Asleep but can still act as if you aren’t. You are also immune to other afflictions.
Competitive,"If a foe lowers any of your stats, you have +2 Special Attack until your lowered stats are returned to normal."
Compound Eyes,Add +1 during accuracy check whenever you use a ranged attack.
Corrosion,You can Poison and Toxify Steel-types and Poison-types.
Curious Medicine,Your stats and your adjacent ally’s stats cannot be lowered by a foe’s effects.
Cursed Body,"When you are hit by a foe’s melee attack, disable that attack for 10 mins. Cursed Body can only affect one attack at a time."
Cute Charm,"Whenever you are hit with a melee attack, roll 1d4. On 4, Infatuate the attacker."
Damp,"Explosion, Misty Explosion, and Self-Destruct fail to do anything if used within 40ft of you."
Dazzling,You may not be targeted by Priority moves that are being used out of turn order.
Defeatist,"When your HP is below half of your max hit points, your stats are all -2."
Defiant,"If a foe lowers any of your stats, you have +2 Attack until your lowered stats are returned to normal."
Disguise,"The first time you are hit with an attack each encounter, the attack is negated."
Download,Your Attack is +1 against targets with lower Special Defense than Defense. Your Special Attack is +1 against targets with lower Defense than Special Defense.
Drizzle,As a free action you may deplete one use of Rain Dance and use Rain Dance.
Drought,As a free action you may deplete one use of Sunny Day and use Sunny Day.
Dry Skin,"In sunny weather, you lose 4 HP at the end of your actions. In rainy weather, you recover 4 HP at the end of your actions. You are immune to Water-type attacks."
Early Bird,You roll twice during checks to wake from Sleep and use the higher result.
Effect Spore,"Whenever you are hit with a melee attack, roll 1d4. On 4, randomly either Paralyze, Poison, or put to Sleep the attacker."
Electric Surge,As a free action you may deplete one use of Electric Terrain and use Electric Terrain.
Emergency Exit,"You cannot fight when first damaged below half of Max HP. You will want to run away or return to a Poke Ball for 2 rounds. During those two rounds, your speed is doubled."
Exposed,"When you use a move or attack, you have –8 Defense and –8 Special Defense until your next turn. You also deal –8 damage with all attacks before applying weakness and resistance), Sturdy (If you would be brought from Max HP to 0 or below, you are instead brought to 1 HP."
Filter,Super-effective attacks against you deal -4 damage after applying weakness.
Flame Body,"Whenever you are hit with a melee attack, roll 1d4. On 4, Burn the attacker."
Flare Boost,"While Burned, your Special Attack is +4."
Flash Fire,"You are immune to Fire-type attacks. If you would be hit by a Fire-type attack, your Fire type attacks deal +4 damage for 2 mins."
Flower Gift,"While Cherrim is in Sunny Weather, Cherrim’s Attack and Special Defense is +6"
Flower Veil,You and your allied Grass-type’s stats cannot be lowered by effects within 25ft of you.
Fluffy,"If hit by a melee attack, you only take half the damage. If hit by a Fire-type attack, you take twice the damage."
Forecast,"Your appearance and type changes with the weather. In Hailing, Hazy, or Misty weather, Castform is Ice-type. In Raining weather, Castform is Water-type. In Sandstorming weather, Castform is Rock-type. In Sunny weather, Castform is Fire-type."
Friend Guard,Allies within 25ft of you take -1d4 damage when attacked.
Fur Coat,"If hit by a move using the Attack stat, you only take half the damage you would take."
Gale Wings,"If you use a Flying Type Move during your turn, your Speed is +2 until your next turn."
Galvanize,Normal-type moves performed by you are treated as Electric-type moves.
Gooey,Contact with you lowers the attacker's Speed by -2 for 10 mins. This effect does not stack.
Grass Pelt,"While in Grassy Terrain, your Defense is +2."
Grassy Surge,As a free action you may deplete one use of Grassy Terrain and use Grassy Terrain.
Gulp Missile,"Whenever Cramorant goes underwater, it gathers waste in its mouth. When hit by an attack within 30ft while Cramorant has waste, Cramorant ejects the waste at the offender, dealing 4 damage or 8 damage if Cramorant has less than 20 HP"
Guts,"While afflicted, your Attack is +2."
Harvest,"When using a Berry, you only use half of it while still gaining its full effects. You can only use half of a Berry if you have Harvest."
Healer,"After acting, you may roll 1d20. On 16 or higher, any adjacent allies are cured of all afflictions."
Heatproof,"Fire-type attacks are resisted by you. If you are already resistant to Fire-type, half any Fire-type attack’s damage again."
Hunger Switch,"Whenever Morpeko acts, it changes from Full Belly mode to Hangry mode or back into Full Belly mode from Hangry mode. Aura Wheel is Electric-type in Full Belly mode, Aura Wheel is Dark-type in Hangry mode."
Hydration,"While in Raining weather, you are cured of any afflictions."
Hyper Cutter,Your Attack cannot be lowered by a foe’s effects.
Ice Body,"If in Hailing weather, you recover 4 HP during your action and you don’t take damage from Hailing weather."
Ice Face,The first time you are hit with a melee attack each encounter; the attack is negated. Ice Face is reset whenever it starts Hailing while you are within its area of effect.
Ice Scales,"If hit by a Special Attack, you only take half the damage you would take."
Illusion,"As a free action, you may change your appearance to look like any Pokémon you have interacted with within the past hour. You may not appear as a Pokémon more than twice your size and the illusion is dropped when you are hit by an attack."
Immunity,You are immune to getting Poisoned and Toxified.
Imposter,As a free action you may use Transform.
Infiltrator,Hindering terrain and Walls do not affect you or your attacks.
Innards Out,"When you are knocked out by a melee attack, deal damage to the attacker equal to the damage you just took."
Inner Focus,You are immune to being Stunned.
Insomnia,You are immune to being put to Sleep.
Iron Barbs,"Whenever you are hit with a melee attack, the attacker takes 4 damage."
Iron Fist,Your punching attacks deal +4 damage.
Justified,"When a foe hits you with a Dark-type attack, your Attack is +1 for 10 mins."
Keen Eye,Your accuracy checks cannot be negatively affected by foes.
Leaf Guard,"While in sunny weather, you are cured of any afflictions."
Levitate,You are immune to Ground-type moves while you are airborne.
Libero,You may change your type to the same type as an attack you are making while making it for 10 mins.
Lightning Rod,Any foe’s ranged Electric-type attacks within 25ft or any adjacent foe’s Electric-type attacks are negated and drawn to you. Your Special Attack is +2 until the end of your next turn whenever you negate an Electric-type attack
Limber,You are immune to being Paralyzed.
Liquid Ooze,"If you are hit by an attack that damages you and heals the attacker, the attacker is dealt damage equal to what they would have healed, instead of healing."
Liquid Voice,Sound-based moves made by you are Water-type.
Long Reach,"Your melee ranged attacks all have a range of 25ft, and are still melee attacks."
Magic Bounce,"If you are hit by an attack that does not deal damage, the attacker is instead affected by the effects of their own attack."
Magic Guard,"You can only take damage from attacks that deal damage. You are unaffected by damage from afflictions, coats, hazards, weather or any passives."
Magician,"When hitting with a melee attack, you steal the target’s held item, if any."
Mega Adaptability,Moves that are the same type as Mega Beedrill or Mega Lucario deal +8 damage.
Magma Armor,You are immune being Frozen.
Marvel Scale,"While afflicted, your Defense is +2."
Mega Cannon,Mega Blastoise’s ranged attacks deal +8 damage.
Mega Filter,Super-effective attacks against Mega Aggron deal -1d20 damage.
Mega Healer,"After acting, Mega Audino may roll 1d20. On 7 or higher, any adjacent allies are cured of all afflictions"
Mega Intimidate,Mega Manectric has +4 more Defense
Mega Jaw,Mega Sharpedo’s biting attacks deal +8 damage.
Mega Launcher,Your pulse attacks deal +4 damage.
Mega Shell Armor,Critical hits are treated as normal hits against Mega Slowbro. Mega Slowbro has +2 more Defense.
Mega Skill Link,"Mega Heracross’s scatter moves get to be completely used, even if you miss you may still attempt each possible attack."
Mega Technician,"When rolling damage, replace any rolled 1s, 2s, or 3s with 4s."
Merciless,"On hit, your attacks are critical hits if the target is Poisoned or Toxified."
Mettle,"Your attacks cannot be redirected by passives or any other ability, instead only hitting a target your attack was directed at."
Mimicry,"Your Type changes to reflect your current surroundings. If you are in a grassy field, Grass type; if you are in water, Water type; if you are on a mountain, Rock type; etc."
Minus,"If at least one ally has Plus or Minus within 10ft you, you have +3 Special Attack."
Mirror Armor,"If your stats would be lowered by a foe’s effects, instead that offender’s stat is lowered."
Misty Surge,As a free action you may deplete one use of Misty Terrain and use Misty Terrain.
Mold Breaker,"Your attacks ignore any passives that would redirect, negate or weaken your attacks."
Motor Drive,Any Electric-type attack that hits you is negated and your speed is +1 for 10 mins.
Multiscale,"When you are at Max HP, you take -4 damage from all attacks."
Mummy,"Whenever you are hit with a melee attack, the not-Stat passives of the attacker become Mummy for 10 mins."
Natural Cure,"Whenever returned to a Poke Ball, you are cured of any afflictions."
Neutralizing Gas,Non-Stat passives other than your own do not work within 10ft of you.
No Guard,"You cannot miss your attacks, and attacks made against you cannot miss."
Normalize,Attacks performed by you are treated as Normal-type attacks.
Oblivious,You are immune to Infatuation.
Overcoat,You are immune to damage from weather.
Overgrow,"When you are below 20 HP, your Grass-type attacks deal +4 damage"
Own Tempo,You are immune to being Confused.
Parental Bond,"After attacking, Mega Kangaskhan may immediately make the same attack again. If they hit with the second attack, do not add any die rolls to your damage, instead only using your modifier and any non-dice bonuses as damage."
Pastel Veil,You and your allies within 10ft of you are immune to being Poisoned or Toxified.
Perish Body,"When you are hit by a melee attack, the offender receives 3 Perish Coats. The Coat has the following ability: After acting, destroy one of your Perish Coats. If this is the third Perish coat you’ve destroyed during this encounter, set your HP to 0."
Pickpocket,"When you are hit by a melee attack, you steal the offender’s held item, if any."
Pixilate,Normal-type moves performed by you are treated as Fairy-type moves.
Plus,"If at least one ally has Plus or Minus within 10ft you, you have +3 Special Attack."
Poison Heal,"While afflicted with Poison or Toxification, you are healed instead of damaged by those afflictions. You are cured of Poison or Toxin once you are at Max HP."
Poison Point,"Whenever you are hit with a melee attack, roll 1d4. On 4, Poison the attacker."
Poison Touch,"Whenever you hit with a melee attack, you may roll 1d6. On 6, Poison the target."
Power of Alchemy,"When an ally is knocked out within 10ft of you, you gain one of your ally’s passives for 2 mins."
Power Spot,"Attacks made within 10ft of you deal +4 damage, regardless if the attacker is friend or foe."
Prankster,Your attacks that do not deal damage on hit have Priority.
Pressure,"If you are hit by a 3/day attack, the attacker can’t use that attack for the remainder of the day."
Propeller Tail,"Your attacks cannot be redirected by passives or any other ability, instead only hitting a target your attack was directed at."
Protean,You may change your type to the same type as an attack you are making while making it for 10 mins.
Psychic Surge,As a free action you may deplete one use of Psychic Terrain and use Psychic Terrain.
Punk Rock,Your sound-based attacks deal +4 damage. You take 4 less damage from sound-based attacks.
Purest Power,Mega Medicham has +4 More Attack
Queenly Majesty,You may not be targeted by Priority moves that are being used out of turn order.
Quick Draw,"1/day, you may give one of your moves priority."
Quick Feet,"While afflicted, your Speed is +2."
Rain Dish,"If in Raining Weather, you regain 4 HP after you act."
Rattled,"When a foe hits you with a Bug-type, Ghost-type, or Dark-type attack, your Speed is +1 for 10 mins."
Receiver,"When an ally is knocked out within 10ft of you, you gain one of your ally’s passives for 2 mins."
Reckless,"Your attacks that damage yourself on hit, deal +4 damage."
Receiver,"When an ally is knocked out within 10ft of you, you gain one of your ally’s passives for 2 mins."
Recycle,"When using a Berry, you only use half of it while still gaining its full effects. You can only use half of a Berry if you have Recycle."
Refrigerate,Normal-type moves performed by you are treated as Ice-type moves.
Regenerator,"When returned to a Poke Ball, you recover to Max HP after being stored for 1 hour."
Ripen,"When you use a Berry, double any effects it has."
Rock Head,Your attacks that damage yourself on hit do not damage yourself.
Rough Skin,"Whenever you are hit with a melee attack, the attacker takes 4 damage."
Sand Force,"While in Sandstorming Weather, your Rock-type and Ground-type attacks deal +4 damage and you don’t take damage from Sandstorming weather."
Sand Power,"While in Sandstorming Weather, Mega Garchomp’s Rock-type and Ground-type attacks deal +8 damage."
Sand Rush,"While in Sandstorming Weather, Your Speed is +2 and you don’t take damage from Sandstorming weather."
Sand Spit,"Whenever you are hit with a melee attack, use Sandstorm as a free action."
Sand Veil,"While in Sandstorming Weather, any foe’s attacks made against you have -1 during accuracy check and you don’t take damage from Sandstorming weather."
Sand Stream,As a free action you may deplete one use of Sandstorm and use Sandstorm.
Sand Vortex,"As a free action Mega Tyranitar may use Sandstorm, even if it’s not on their move list."
Sap Sipper,"You are immune to Grass-type attacks. If you would be hit by a Grass-type attack, your Attack is +1 for 10 mins"
Schooling,"When Wishiwashi is at half its HP or higher, it is in its School form. In its School form, Wishiwashi summons hundreds of fish-shaped balls of water and surrounds itself making it appear larger and making it stronger. When below 15 HP, Wishiwashi is in its Single form, dropping its façade and appearing much smaller on its own."
Scrappy,Your Normal-type and Fighting-type attacks can hit Ghost-type targets.
Screen Cleaner,"Whenever you move through a Wall, Hazard, or adjacent to someone with a Coat, destroy all Walls, Hazards and Coats."
Shadow Pull,Foes within 10ft of Mega Gengar cannot move away from you
Shed Skin,"After acting, you may roll 1d4. On 4, you are cured of any afflictions."
Sheerest Force,"Mega Camerupt’s attacks that have additional effects that affect the target may deal +1d20 damage, but will not have those additional effects."
Sheer Force,"Your attacks that have additional effects that affect the target may deal +4 damage, but will not have those additional effects."
Shell Armor,Critical hits are treated as normal hits against you
Shields Down,"When your HP is below half of your max hit points, your form changes to Core Form and your stats change. While Minior is not in its Core Revealed from, it is immune to afflictions"
Shield Dust,You are unaffected by additional effects from attacks that deal damage.
Skill Link,Your scatter moves have +2 during Accuracy Check.
Speed Purity,Mega Blaziken has +4 more Speed
Slush Rush,"While in Hailing weather, your Speed is +2 and you don’t take damage from Hailing weather."
Sniper,"When you land a critical hit, you deal an additional 8 damage, applied before weakness and resistances."
Snow Cloak,"While in Hailing weather, any foe’s attacks made against you have -1 during Accuracy Check and you don’t take damage from Hailing weather"
Snow Front,"While in Hailing Weather, Mega Abomasnow’s Ice-type attacks deal +1d8 damage."
Snow Warning,As a free action you may deplete one use of Hail and use Hail.
Solar Energy,"While in Sunny weather, Mega Houndoom deals an additional 8 damage while attacking."
Solar Power,"While in Sunny weather, you deal an additional 4 damage while attacking. After acting in Sunny weather, you take 4 damage."
Solid Rock,Super-effective attacks against you deal -4 damage after applying weakness.
Soul-Heart,"When an ally is knocked out within 10ft of you, your Special Attack is +1 for 10 mins."
Soundproof,"You are immune to sound-based attacks, like Boomburst, Bug Buzz, Chatter, Clanging Scales, Disarming Voice, Echoed Voice, Eerie Spell, Grass Whistle, Hyper Voice, Overdrive, Perish Song, Roar, Round, Sing, Snore, Sparkling Aria, Supersonic, Uproar"
Stakeout,"When you attack a target who has just joined the encounter since your last turn, you deal +4 damage."
Stance Change,"Aegislash has two forms it constantly changes between. When you attack a foe, before making your accuracy check change into your Sword Form. When using a reaction move such as King’s Shield or Protect, or a protective move like Safeguard or Light Screen, immediately change to Shield Form."
Static,"Whenever you are hit with a melee attack, roll 1d4. On 4, Paralyze the attacker."
Steadfast,"When you are Stunned, your Speed is +1 for 10 mins."
Steam Engine,"When a foe hits you with a Fire-type or Water-type attack, your Speed is +2 for 10 mins."
Steel Force,"While in Sandstorming Weather, Mega Steelix’s Rock-type and Ground-type attacks deal +8 damage."
Steelworker,Your Steel-type attacks deal +4 damage.
Steely Spirit,Steel-type attacks used within 10ft of you by yourself or allies deal +4 damage.
Stench,"Whenever you are hit with a melee attack, roll 1d4. On 4, Stun the attacker"
Sticky Hold,You cannot drop held items or have held items stolen from you.
